"","YEAR","SEX","RACE","EDUC","AGE"
"227",1974,2,3,13,38
"228",1974,2,1,16,75
"229",1974,1,1,12,35
"230",1974,1,1,4,66
"231",1974,1,1,8,74
"232",1974,2,1,6,80
"233",1974,2,1,11,34
"234",1974,1,1,12,22
"235",1974,1,1,13,52
"236",1974,2,1,12,81
"237",1974,2,1,10,25
"238",1974,2,1,12,19
"239",1974,1,1,13,23
"240",1974,1,1,11,20
"241",1974,1,1,7,74
"242",1974,2,1,9,45
"243",1974,2,1,16,61
"244",1974,1,1,20,71
"245",1974,1,1,17,47
"246",1974,2,1,12,67
"247",1974,2,1,16,28
"248",1974,2,1,12,59
"249",1974,1,1,8,31
"250",1974,1,1,18,36
"251",1974,2,1,13,30
"252",1974,2,1,13,38
"253",1974,2,1,10,25
"254",1974,1,1,11,18
"255",1974,1,1,10,59
"256",1974,1,1,9,59
"257",1974,2,1,11,74
"258",1974,2,1,12,44
"259",1974,1,1,13,35
"260",1974,1,1,8,75
"261",1974,2,1,8,89
"262",1974,2,1,13,20
"263",1974,2,1,12,72
"264",1974,1,1,7,57
"265",1974,2,1,12,36
"266",1974,2,1,12,53
"267",1974,2,1,8,55
"268",1974,1,1,11,60
"269",1974,1,1,18,56
"270",1974,2,1,12,32
"271",1974,2,1,9,50
"272",1974,2,1,12,39
"273",1974,1,1,14,56
"274",1974,1,1,15,52
"275",1974,2,1,12,52
"276",1974,2,1,12,67
"277",1974,2,1,12,52
"278",1974,1,1,0,47
"279",1974,1,1,16,69
"280",1974,2,1,9,51
"281",1974,2,1,12,26
"282",1974,2,1,12,24
"283",1974,1,1,14,24
"284",1974,1,1,11,67
"285",1974,1,1,8,72
"286",1974,2,2,12,33
"287",1974,2,1,12,49
"288",1974,1,1,13,33
"289",1974,1,1,12,39
"290",1974,2,1,10,57
"291",1974,2,1,12,25
"292",1974,1,2,14,27
"293",1974,1,2,12,42
"294",1974,1,1,12,43
"295",1974,2,1,12,62
"296",1974,2,1,17,26
"297",1974,1,1,8,69
"298",1974,1,1,19,41
"299",1974,2,1,12,41
"300",1974,2,1,15,30
"301",1974,2,1,13,47
"302",1974,1,1,12,32
"303",1974,1,2,12,61
"304",1974,1,2,12,61
"305",1974,2,1,12,39
"306",1974,2,2,13,28
"307",1974,1,1,12,31
"308",1974,1,1,12,29
"309",1974,1,1,12,61
"310",1974,2,1,12,42
"311",1974,2,1,12,23
"312",1974,1,1,12,28
"313",1974,1,1,12,42
